Tissue.origin	Cancer.type	Subtype	Gene.name1	Aberrance.type1	Aberrance.site1	Gene.name2	Aberrance.type2	Aberrance.site2	Description	Source	PMID
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2A	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	mutation	NA	CDKN2A	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	mutation	NA	CDKN2B	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2A	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MDM2	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2A	mutation	NA	MDM2	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MDM2	mutation	NA	MDM4	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MDM4	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PDGFRA	mutation	NA	PTEN	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	PDGFRA	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	PTEN	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PIK3R1	mutation	NA	PTEN	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	PIK3R1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MDM2	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	GLI1	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2A	mutation	NA	GLI1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	MDM2	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NF1	mutation	NA	PDGFRA	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	NF1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	GLI1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	mutation	NA	TP53	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	NF1	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MDM2	mutation	NA	NF1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2B	mutation	NA	NF1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	GLI1	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	GLI1	mutation	NA	MDM2	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA2	mutation	NA	RNF144B	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	CCNE1	mutation	NA	RNF144B	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA2	mutation	NA	CCNE1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	RB1	mutation	NA	RBBP8	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	CCNE1	mutation	NA	RBBP8	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	MYC	mutation	NA	RBBP8	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	CCNE1	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	MYC	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	CCNE1	mutation	NA	MYC	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA2	mutation	NA	RBBP8	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA1	mutation	NA	RBBP8	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA2	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA1	mutation	NA	BRCA2	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA1	mutation	NA	RB1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA1	mutation	NA	CCNE1	mutation	NA	MEMo	Algorithm	21908773
Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	BRCA2	mutation	NA	MYC	mutation	NA	MEMo	Algorithm	21908773
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	KRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	STK11	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	STK11	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	PRKCG	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	PRKCG	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	EGFR	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KRAS	mutation	NA	NRAS	mutation	NA	MCMC 	Algorithm	21653252
Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	CDK14	mutation	NA	EGFR	mutation	NA	MCMC 	Algorithm	21653252
