Tissue.origin	Cancer.type	Subtype	Gene.name1	Aberrance.type1	Aberrance.site1	Gene.name2	Aberrance.type2	Aberrance.site2	Description	Source	PMID
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	PDGFRA	copy number gain	NA	PDGFRB	copy number gain	NA	"In this study, use of a detailed multicolor FISH mapping procedure in pathologic specimens revealed a mutual exclusivity of gene amplification in the majority of glioblastoma tumors examined. In particular, the two most commonly amplified RTK genes, EGFR and PDGFRA, were found to be present in variable proportions across the tumors, with one or the other gene predominating in certain areas of the same specimen."	Text mining	22311673
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	copy number gain	NA	PDGFRA	copy number gain	NA	"In this study, use of a detailed multicolor FISH mapping procedure in pathologic specimens revealed a mutual exclusivity of gene amplification in the majority of glioblastoma tumors examined. In particular, the two most commonly amplified RTK genes, EGFR and PDGFRA, were found to be present in variable proportions across the tumors, with one or the other gene predominating in certain areas of the same specimen."	Text mining	22311673
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	EGFR	copy number gain	NA	PDGFRB	copy number gain	NA	"In this study, use of a detailed multicolor FISH mapping procedure in pathologic specimens revealed a mutual exclusivity of gene amplification in the majority of glioblastoma tumors examined. In particular, the two most commonly amplified RTK genes, EGFR and PDGFRA, were found to be present in variable proportions across the tumors, with one or the other gene predominating in certain areas of the same specimen."	Text mining	22311673
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH1	mutation	NA	TET2	mutation	NA	"IDH1/2 mutations were mutually exclusive with mutations in the α-KG-dependent enzyme TET2, and TET2 loss-of-function mutations were associated with similar epigenetic defects to those of IDH1/2 mutants in AML"	Text mining	22740846
Myeloid	Myeloid Neoplasm	Acute Myeloid Leukemia	IDH2	mutation	NA	TET2	mutation	NA	"IDH1/2 mutations were mutually exclusive with mutations in the α-KG-dependent enzyme TET2, and TET2 loss-of-function mutations were associated with similar epigenetic defects to those of IDH1/2 mutants in AML"	Text mining	22740846
Prostate	Prostate Adenocarcinoma	NA	ERG	structural variation	NA	SPOP	mutation	NA	Mutual exclusivity of SPOP mutation with ERG rearrangement as well as a high association with CHD1 deletion reinforces SPOP mutation as defining a distinct molecular subclass of prostate cancer.	Text mining	24563616
Multiple Tissues	Pancancer	NA	EZH2	DNA methylation	NA	HDAC4	DNA methylation	NA	"These analyses led to the novel conclusion that activation of HDAC4 and the histone methylase EZH2 are mutually exclusive and represent two distinct biologic fates in cancer cells, one related to growth factor signaling and the other related to inflammatory signaling."	Text mining	24079712
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDK4	copy number variation	NA	MTAP	copy number variation	NA	"Finally, we test each pair of primary genes for mutual exclusivity. We apply a lower-tail hypergeometric test for depletion of intersection between the known or imputed alterations across the set of patients. To select significantly mutually exclusive pairs, we use a Bonferroni-corrected p-value threshold 0.05"	Text mining	23629686
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	B4GALNT1	copy number variation	NA	CDKN2A	copy number variation	NA	"Finally, we test each pair of primary genes for mutual exclusivity. We apply a lower-tail hypergeometric test for depletion of intersection between the known or imputed alterations across the set of patients. To select significantly mutually exclusive pairs, we use a Bonferroni-corrected p-value threshold 0.05"	Text mining	23629686
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	MTAP	copy number variation	NA	OS9	copy number variation	NA	"Finally, we test each pair of primary genes for mutual exclusivity. We apply a lower-tail hypergeometric test for depletion of intersection between the known or imputed alterations across the set of patients. To select significantly mutually exclusive pairs, we use a Bonferroni-corrected p-value threshold 0.05"	Text mining	23629686
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	CDKN2A	copy number variation	NA	OS9	copy number variation	NA	"Finally, we test each pair of primary genes for mutual exclusivity. We apply a lower-tail hypergeometric test for depletion of intersection between the known or imputed alterations across the set of patients. To select significantly mutually exclusive pairs, we use a Bonferroni-corrected p-value threshold 0.05"	Text mining	23629686
CNS/Brain	Diffuse Glioma	Glioblastoma Multiforme	AGAP2	copy number variation	NA	CDKN2A	copy number variation	NA	"Finally, we test each pair of primary genes for mutual exclusivity. We apply a lower-tail hypergeometric test for depletion of intersection between the known or imputed alterations across the set of patients. To select significantly mutually exclusive pairs, we use a Bonferroni-corrected p-value threshold 0.05"	Text mining	23629686
Skin	Melanoma	NA	BRAF	mutation	V600E	NRAS	mutation	NA	"Genomic analyses of melanoma have shown mutual exclusivity between BRAFV600E and NRAS mutations, both leading to activation of the RAS–RAF–MEK–ERK pathway"	Text mining	23851445
Skin	Melanoma	NA	BRAF	mutation	NA	KIT	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	BRAF	mutation	NA	FGFR1	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	BRAF	mutation	NA	GNAQ	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	KIT	mutation	NA	NRAS	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
Skin	Melanoma	NA	FGFR1	mutation	NA	NRAS	mutation	NA	"Statistically significant mutual exclusivity was revealed among components of each of the p16CDKN2A-CDK4-RB, RAS-RAF-MEK-ERK and PI3K-AKT signaling pathways."	Text mining	23851445
